排名,回測開始日期,回測結束日期,策略方案,持股檔數,持倉天數,累積總報酬率(%),年化報酬率CAGR(%),最大回撤MDD(%),勝率(%),獲利因子,總交易次數,2021報酬(%),2022空頭(%),2023主升(%),2024報酬(%),2025報酬(%),2026迄今(%)
1,"2021-01-01","2026-08-10","方案 A",3,120,382.97,32.44,44.63,42.6,1.94,319,5.93,-38.62,193.97,66.11,36.96,11.06
2,"2021-01-01","2026-08-05","方案 D",5,20,347.17,30.72,51.13,46.0,1.83,474,11.63,-37.72,121.59,43.71,71.91,17.50
3,"2021-01-01","2026-08-10","方案 A",8,120,324.60,29.43,21.10,43.2,1.69,837,18.81,-6.89,95.90,35.71,34.01,7.72
4,"2021-01-01","2026-08-05","方案 D",10,20,297.11,27.98,46.90,44.7,1.65,921,25.89,-32.15,78.59,23.13,60.99,31.33
5,"2021-01-01","2026-08-10","方案 B",3,15,296.73,27.88,51.38,47.5,1.84,415,-12.82,-35.36,61.44,54.68,114.09,31.68
6,"2021-01-01","2026-08-10","方案 D",10,90,293.49,27.69,49.55,44.1,1.75,751,12.23,-38.90,121.85,27.53,52.00,33.43
7,"2021-01-01","2026-08-10","方案 D",10,180,293.49,27.69,49.55,44.1,1.75,751,12.23,-38.90,121.85,27.53,52.00,33.43
8,"2021-01-01","2026-08-10","方案 D",10,240,293.49,27.69,49.55,44.1,1.75,751,12.23,-38.90,121.85,27.53,52.00,33.43
9,"2021-01-01","2026-08-10","方案 D",10,300,293.49,27.69,49.55,44.1,1.75,751,12.23,-38.90,121.85,27.53,52.00,33.43
10,"2021-01-01","2026-08-10","方案 D",10,360,293.49,27.69,49.55,44.1,1.75,751,12.23,-38.90,121.85,27.53,52.00,33.43
11,"2021-01-01","2026-08-05","方案 B",2,20,292.74,27.72,59.72,43.1,1.75,290,-14.66,-45.53,97.17,53.03,124.83,24.53
12,"2021-01-01","2026-08-10","方案 B",5,45,291.42,27.57,37.15,44.7,1.71,579,-7.30,-27.58,84.29,48.38,74.03,22.52
13,"2021-01-01","2026-08-10","方案 D",10,45,289.71,27.47,49.34,44.6,1.73,765,14.28,-38.47,115.88,27.57,50.34,33.87
14,"2021-01-01","2026-08-05","方案 B",3,15,289.22,27.52,51.38,47.5,1.82,415,-12.82,-35.36,61.44,54.68,114.09,29.18
15,"2021-01-01","2026-08-05","方案 D",10,45,288.93,27.50,49.34,44.6,1.73,765,14.28,-38.47,115.88,27.57,50.34,33.60
16,"2021-01-01","2026-08-10","方案 D",10,60,288.80,27.42,49.55,43.9,1.74,750,12.23,-38.90,118.01,26.37,53.61,33.97
17,"2021-01-01","2026-08-10","方案 B",2,15,288.67,27.41,48.58,45.3,1.76,296,-1.22,-38.24,61.97,48.68,112.14,24.70
18,"2021-01-01","2026-08-10","方案 E",5,45,288.54,27.40,44.29,40.2,1.74,500,-10.40,-24.18,57.14,50.76,83.40,31.63
19,"2021-01-01","2026-08-05","方案 B",2,15,287.29,27.40,48.58,45.3,1.76,296,-1.22,-38.24,61.97,48.68,112.14,24.25
20,"2021-01-01","2026-08-10","方案 A",3,20,285.58,27.23,47.65,42.0,1.71,338,-0.76,-40.21,157.91,58.43,39.20,14.25
