year,variant,label,total_return,mdd,win_rate,profit_factor,trades,dualsell_triggers
2021,baseline,baseline-2021,-9.5,22.02,40.0,0.93,150,102
2021,bigsell_25,bigsell_25-2021,9.56,18.87,45.36,1.21,97,34
2022空頭年,baseline,baseline-2022空頭年,-16.3,25.71,33.61,0.76,122,76
2022空頭年,bigsell_25,bigsell_25-2022空頭年,-23.21,31.31,35.23,0.63,88,35
2023,baseline,baseline-2023,55.61,8.06,52.7,1.93,148,99
2023,bigsell_25,bigsell_25-2023,78.34,8.28,57.43,2.53,101,44
2024多頭年,baseline,baseline-2024多頭年,26.8,15.35,46.15,1.73,156,95
2024多頭年,bigsell_25,bigsell_25-2024多頭年,33.58,20.0,51.3,1.74,115,38
2025年,baseline,baseline-2025年,42.79,25.24,49.11,1.5,169,107
2025年,bigsell_25,bigsell_25-2025年,28.2,16.5,48.18,1.38,110,41
