strategy,hold_days,label,year,total_return,mdd,win_rate,profit_factor,total_trades
E,30,方案E(8檔/30天),2021,-0.69,24.55,34.88,1.7,129
E,30,方案E(8檔/30天),2022空頭年,1.68,17.98,36.44,7.43,118
E,30,方案E(8檔/30天),2023,66.33,9.0,45.52,3.12,134
E,30,方案E(8檔/30天),2024多頭年,27.4,16.41,41.06,7.05,151
E,30,方案E(8檔/30天),2025,31.42,22.46,42.11,2.65,133
E,30,方案E(8檔/30天),2026年初迄今,54.67,11.91,48.48,1.59,132
D,20,方案D(8檔/20天，現行系統建議),2021,15.83,20.66,47.79,4.51,136
D,20,方案D(8檔/20天，現行系統建議),2022空頭年,-10.45,25.49,39.72,5.85,141
D,20,方案D(8檔/20天，現行系統建議),2023,54.75,10.43,50.96,2.72,157
D,20,方案D(8檔/20天，現行系統建議),2024多頭年,36.03,18.06,49.71,6.21,173
D,20,方案D(8檔/20天，現行系統建議),2025,28.66,24.97,50.33,2.99,151
D,20,方案D(8檔/20天，現行系統建議),2026年初迄今,56.39,19.2,44.44,1.66,126
A,90,方案A(8檔/90天，基準),2021,-7.4,23.66,36.18,4.75,152
A,90,方案A(8檔/90天，基準),2022空頭年,-7.65,17.7,33.8,1.84,142
A,90,方案A(8檔/90天，基準),2023,63.14,11.37,47.44,2.75,156
A,90,方案A(8檔/90天，基準),2024多頭年,46.77,12.2,44.97,5.09,189
A,90,方案A(8檔/90天，基準),2025,45.7,23.53,41.38,2.48,174
A,90,方案A(8檔/90天，基準),2026年初迄今,48.04,19.91,46.04,1.51,139
