period,label,total_return,mdd,win_rate,profit_factor,trades,bull_entries,bear_entries
全期間,static_A (全程方案A),185.34,34.76,40.84,1.5,972,,
全期間,static_D (全程方案D，現行預設),135.59,39.2,46.38,1.48,718,,
全期間,static_E (全程方案E),286.64,26.19,41.03,1.55,836,,
全期間,select_A_E (多頭A/空頭E),202.83,41.8,40.15,1.53,904,613,291
全期間,select_A_B (多頭A/空頭B),229.66,37.87,43.89,1.58,957,651,306
全期間,select_D_E (多頭D/空頭E),135.04,38.76,42.37,1.47,708,438,270
2021,static_A (全程方案A),-9.19,23.14,35.76,1.03,165,,
2021,static_D (全程方案D，現行預設),1.24,21.87,46.79,1.0,109,,
2021,static_E (全程方案E),2.95,21.22,38.46,1.14,130,,
2021,select_A_E (多頭A/空頭E),-8.28,20.64,35.29,1.02,153,109,44
2021,select_A_B (多頭A/空頭B),-8.62,19.8,37.74,1.0,159,113,46
2021,select_D_E (多頭D/空頭E),-0.59,23.35,40.71,1.16,113,65,48
2022空頭年,static_A (全程方案A),-10.05,16.85,32.64,0.76,144,,
2022空頭年,static_D (全程方案D，現行預設),-17.95,29.97,35.14,0.65,111,,
2022空頭年,static_E (全程方案E),1.68,17.98,32.2,0.86,118,,
2022空頭年,select_A_E (多頭A/空頭E),-19.77,30.65,32.03,0.72,128,55,73
2022空頭年,select_A_B (多頭A/空頭B),-15.82,24.11,33.58,0.73,137,59,78
2022空頭年,select_D_E (多頭D/空頭E),-18.74,28.65,32.46,0.74,114,44,70
2023,static_A (全程方案A),60.43,11.44,48.41,2.19,157,,
2023,static_D (全程方案D，現行預設),62.57,8.87,54.4,2.22,125,,
2023,static_E (全程方案E),66.33,9.0,45.52,1.95,134,,
2023,select_A_E (多頭A/空頭E),55.17,8.92,46.67,2.19,150,104,46
2023,select_A_B (多頭A/空頭B),76.39,7.26,49.69,2.19,163,118,45
2023,select_D_E (多頭D/空頭E),41.22,11.08,49.19,1.89,124,87,37
2024多頭年,static_A (全程方案A),44.66,13.76,42.86,1.77,196,,
2024多頭年,static_D (全程方案D，現行預設),25.11,18.88,46.04,1.61,139,,
2024多頭年,static_E (全程方案E),27.4,16.41,39.74,1.5,151,,
2024多頭年,select_A_E (多頭A/空頭E),45.15,12.45,40.44,1.77,183,140,43
2024多頭年,select_A_B (多頭A/空頭B),30.26,12.44,40.33,1.65,181,137,44
2024多頭年,select_D_E (多頭D/空頭E),6.93,21.16,35.92,1.12,142,104,38
2025,static_A (全程方案A),43.62,23.22,43.43,1.59,175,,
2025,static_D (全程方案D，現行預設),41.13,16.34,48.8,1.86,125,,
2025,static_E (全程方案E),31.42,22.46,41.35,1.51,133,,
2025,select_A_E (多頭A/空頭E),46.64,23.22,42.59,1.55,162,123,39
2025,select_A_B (多頭A/空頭B),51.77,21.31,45.71,1.67,175,132,43
2025,select_D_E (多頭D/空頭E),53.65,19.71,45.16,1.76,124,86,38
2026年初迄今,static_A (全程方案A),48.04,19.91,46.04,1.72,139,,
2026年初迄今,static_D (全程方案D，現行預設),55.65,14.91,52.94,2.13,102,,
2026年初迄今,static_E (全程方案E),54.67,11.91,48.48,1.91,132,,
2026年初迄今,select_A_E (多頭A/空頭E),55.6,15.88,47.45,1.88,137,96,41
2026年初迄今,select_A_B (多頭A/空頭B),62.07,15.77,52.14,2.08,140,97,43
2026年初迄今,select_D_E (多頭D/空頭E),55.13,14.42,53.92,2.13,102,62,40
