smooth,period,label,bull_strat,bear_strat,total_return,mdd,win_rate,profit_factor,trades
smooth_60ma,全期間,smooth_60ma_select_A_E,A,E,227.09,35.43,40.3,1.54,938
smooth_60ma,全期間,smooth_60ma_select_A_B,A,B,208.17,35.42,41.62,1.48,961
smooth_60ma,全期間,smooth_60ma_select_D_E,D,E,235.11,27.69,45.39,1.59,749
smooth_60ma,2021,smooth_60ma_select_A_E,A,E,-6.7,19.79,37.04,1.13,162
smooth_60ma,2021,smooth_60ma_select_A_B,A,B,-6.42,20.49,37.35,1.06,166
smooth_60ma,2021,smooth_60ma_select_D_E,D,E,6.04,20.56,47.86,1.28,117
smooth_60ma,2022空頭年,smooth_60ma_select_A_E,A,E,-7.78,19.52,31.25,0.75,128
smooth_60ma,2022空頭年,smooth_60ma_select_A_B,A,B,-16.93,23.74,31.34,0.68,134
smooth_60ma,2022空頭年,smooth_60ma_select_D_E,D,E,-11.56,22.92,34.75,0.81,118
smooth_60ma,2023,smooth_60ma_select_A_E,A,E,54.78,10.91,44.81,1.97,154
smooth_60ma,2023,smooth_60ma_select_A_B,A,B,57.54,9.15,49.04,2.02,157
smooth_60ma,2023,smooth_60ma_select_D_E,D,E,61.81,10.28,52.03,2.14,123
smooth_60ma,2024多頭年,smooth_60ma_select_A_E,A,E,48.62,13.61,43.98,1.85,191
smooth_60ma,2024多頭年,smooth_60ma_select_A_B,A,B,46.62,12.99,45.08,1.8,193
smooth_60ma,2024多頭年,smooth_60ma_select_D_E,D,E,31.65,17.84,45.77,1.79,142
smooth_60ma,2025,smooth_60ma_select_A_E,A,E,44.11,23.22,43.48,1.62,161
smooth_60ma,2025,smooth_60ma_select_A_B,A,B,51.92,21.31,46.07,1.72,178
smooth_60ma,2025,smooth_60ma_select_D_E,D,E,26.74,19.71,47.15,1.52,123
smooth_60ma,2026年初迄今,smooth_60ma_select_A_E,A,E,49.13,20.46,46.32,1.76,136
smooth_60ma,2026年初迄今,smooth_60ma_select_A_B,A,B,49.05,20.46,46.32,1.76,136
smooth_60ma,2026年初迄今,smooth_60ma_select_D_E,D,E,57.77,14.9,54.29,2.22,105
smooth_confirm5,全期間,smooth_confirm5_select_A_E,A,E,226.13,36.71,39.4,1.51,929
smooth_confirm5,全期間,smooth_confirm5_select_A_B,A,B,207.72,40.64,41.8,1.5,957
smooth_confirm5,全期間,smooth_confirm5_select_D_E,D,E,185.76,33.87,44.11,1.53,755
smooth_confirm5,2021,smooth_confirm5_select_A_E,A,E,-5.86,19.63,35.62,1.11,160
smooth_confirm5,2021,smooth_confirm5_select_A_B,A,B,-9.96,21.15,36.14,0.98,166
smooth_confirm5,2021,smooth_confirm5_select_D_E,D,E,8.41,19.21,46.9,1.37,113
smooth_confirm5,2022空頭年,smooth_confirm5_select_A_E,A,E,-15.24,26.15,29.23,0.68,130
smooth_confirm5,2022空頭年,smooth_confirm5_select_A_B,A,B,-21.15,28.36,29.1,0.59,134
smooth_confirm5,2022空頭年,smooth_confirm5_select_D_E,D,E,-17.93,26.95,36.44,0.78,118
smooth_confirm5,2023,smooth_confirm5_select_A_E,A,E,56.37,9.37,44.44,1.92,153
smooth_confirm5,2023,smooth_confirm5_select_A_B,A,B,51.87,10.07,49.69,1.94,159
smooth_confirm5,2023,smooth_confirm5_select_D_E,D,E,55.12,8.66,49.22,1.85,128
smooth_confirm5,2024多頭年,smooth_confirm5_select_A_E,A,E,44.15,13.49,39.57,1.77,187
smooth_confirm5,2024多頭年,smooth_confirm5_select_A_B,A,B,39.94,13.37,41.33,1.79,196
smooth_confirm5,2024多頭年,smooth_confirm5_select_D_E,D,E,15.63,21.31,37.41,1.31,147
smooth_confirm5,2025,smooth_confirm5_select_A_E,A,E,53.13,14.85,43.79,1.69,169
smooth_confirm5,2025,smooth_confirm5_select_A_B,A,B,62.56,14.21,45.0,1.73,180
smooth_confirm5,2025,smooth_confirm5_select_D_E,D,E,45.66,17.13,46.15,1.62,130
smooth_confirm5,2026年初迄今,smooth_confirm5_select_A_E,A,E,49.13,20.46,46.32,1.76,136
smooth_confirm5,2026年初迄今,smooth_confirm5_select_A_B,A,B,48.65,20.4,47.79,1.86,136
smooth_confirm5,2026年初迄今,smooth_confirm5_select_D_E,D,E,47.48,14.38,54.72,2.01,106
smooth_confirm10,全期間,smooth_confirm10_select_A_E,A,E,176.41,41.53,39.29,1.47,929
smooth_confirm10,全期間,smooth_confirm10_select_A_B,A,B,158.69,44.09,39.74,1.41,936
smooth_confirm10,全期間,smooth_confirm10_select_D_E,D,E,234.66,26.92,44.56,1.52,754
smooth_confirm10,2021,smooth_confirm10_select_A_E,A,E,-14.37,27.39,32.26,1.0,155
smooth_confirm10,2021,smooth_confirm10_select_A_B,A,B,-13.98,25.77,35.15,1.01,165
smooth_confirm10,2021,smooth_confirm10_select_D_E,D,E,7.89,19.71,46.79,1.16,109
smooth_confirm10,2022空頭年,smooth_confirm10_select_A_E,A,E,-12.71,21.8,30.6,0.81,134
smooth_confirm10,2022空頭年,smooth_confirm10_select_A_B,A,B,-27.57,30.92,30.71,0.6,140
smooth_confirm10,2022空頭年,smooth_confirm10_select_D_E,D,E,-11.26,23.1,34.48,0.77,116
smooth_confirm10,2023,smooth_confirm10_select_A_E,A,E,50.99,10.93,43.87,1.87,155
smooth_confirm10,2023,smooth_confirm10_select_A_B,A,B,47.68,9.63,46.88,1.77,160
smooth_confirm10,2023,smooth_confirm10_select_D_E,D,E,54.78,10.8,44.8,1.72,125
smooth_confirm10,2024多頭年,smooth_confirm10_select_A_E,A,E,52.9,13.01,41.88,1.87,191
smooth_confirm10,2024多頭年,smooth_confirm10_select_A_B,A,B,51.14,11.91,42.49,1.82,193
smooth_confirm10,2024多頭年,smooth_confirm10_select_D_E,D,E,20.03,21.18,41.3,1.45,138
smooth_confirm10,2025,smooth_confirm10_select_A_E,A,E,42.14,23.46,42.61,1.46,176
smooth_confirm10,2025,smooth_confirm10_select_A_B,A,B,44.28,23.35,43.72,1.51,183
smooth_confirm10,2025,smooth_confirm10_select_D_E,D,E,60.57,12.97,49.24,1.91,132
smooth_confirm10,2026年初迄今,smooth_confirm10_select_A_E,A,E,42.02,19.56,45.26,1.65,137
smooth_confirm10,2026年初迄今,smooth_confirm10_select_A_B,A,B,46.84,20.17,45.26,1.68,137
smooth_confirm10,2026年初迄今,smooth_confirm10_select_D_E,D,E,54.16,14.84,52.94,2.13,102
