year,variant,total_return,mdd,win_rate,profit_factor,trades
2021,default,2.95,21.22,38.46,1.14,130
2021,optuna,10.76,21.11,39.84,1.25,123
2022空頭年,default,1.68,17.98,32.2,0.86,118
2022空頭年,optuna,0.1,18.81,28.7,0.89,115
2023,default,66.33,9.0,45.52,1.95,134
2023,optuna,69.78,8.88,49.21,2.24,126
2024多頭年,default,27.4,16.41,39.74,1.5,151
2024多頭年,optuna,25.03,16.53,34.06,1.32,138
2025,default,31.42,22.46,41.35,1.51,133
2025,optuna,52.28,21.91,40.15,1.59,132
2026年初迄今,default,54.67,11.91,48.48,1.91,132
2026年初迄今,optuna,53.89,15.57,42.24,1.84,116
