strategy,year,total_return,cagr,mdd,win_rate,profit_factor,total_trades,sharpe_ratio,sortino_ratio
A,2021,-11.29,-11.33,23.58,34.81,4.47,158,-0.49,-0.65
A,2022空頭年,-9.26,-9.29,19.24,32.58,1.75,132,-0.3,-0.43
A,2023,59.67,59.92,10.55,49.32,2.76,148,2.21,3.99
A,2024多頭年,55.34,55.39,10.7,45.12,6.71,164,2.11,3.7
A,2025,69.65,69.96,22.7,48.48,3.21,132,2.07,2.8
A,2026年初迄今,47.73,90.58,12.35,49.38,1.68,81,2.14,3.4
A,全期間,211.9,22.5,37.31,41.03,1.5,797,1.06,1.54
B,2021,-10.47,-10.51,22.79,39.22,0.85,153,-0.39,-0.51
B,2022空頭年,-9.18,-9.21,18.95,36.07,3.1,122,-0.28,-0.4
B,2023,66.89,67.18,8.77,51.95,2.2,154,2.69,4.8
B,2024多頭年,38.17,38.2,11.27,51.06,9.52,141,1.59,2.61
B,2025,42.94,43.12,28.19,53.33,2.68,135,1.39,1.91
B,2026年初迄今,58.52,114.13,15.93,52.22,1.82,90,2.53,4.09
B,全期間,202.16,21.81,31.28,46.36,1.47,796,1.02,1.47
C,2021,5.84,5.86,19.89,46.92,3.1,130,0.38,0.49
C,2022空頭年,-27.31,-27.39,36.1,35.05,2.79,97,-1.22,-1.66
C,2023,43.82,44.0,10.47,47.66,3.76,128,1.73,2.99
C,2024多頭年,40.64,40.67,9.66,52.38,11.84,126,1.57,2.8
C,2025,36.32,36.47,32.37,49.54,2.69,109,1.35,1.68
C,2026年初迄今,61.5,120.82,15.0,53.75,2.02,80,2.36,3.19
C,全期間,193.37,21.17,40.57,46.07,1.48,675,0.94,1.38
D,2021,6.49,6.51,19.96,45.22,2.6,115,0.39,0.49
D,2022空頭年,-12.38,-12.42,26.09,41.0,6.22,100,-0.38,-0.56
D,2023,55.19,55.43,9.45,50.41,3.62,121,1.95,3.14
D,2024多頭年,31.7,31.72,12.72,48.36,10.55,122,1.23,1.83
D,2025,5.2,5.21,26.8,45.54,2.17,101,0.33,0.43
D,2026年初迄今,39.37,73.09,13.41,52.24,1.8,67,1.79,2.71
D,全期間,192.13,21.08,31.39,45.12,1.48,645,0.92,1.36
