entry_date,entry_price,staged,final_stage_pct,avg_cost,exit_date,exit_price,exit_reason,pnl_pct,log
2026-04-02,168.6,False,100,168.58,2026-04-23,272.2,觸發停損,61.47,  進場 2026-04-02 收盤 168.6 | 大盤空頭 mult=1.5 | 初始停損 151.2 | 一次買滿100% |   出場/現況 2026-04-23 收盤 272.2 | 原因: 觸發停損 | 最終均價 168.6 | 損益 +61.47%
2026-04-02,168.6,True,100,184.35,2026-04-23,272.2,觸發停損,47.66,  進場 2026-04-02 收盤 168.6 | 大盤空頭 mult=1.5 | 初始停損 151.2 | 首批30% |   加碼 2026-04-07 收盤 185.4 | 第2批 30% (累計60%) | 加碼後均價 177.0 (積分4) |   加碼 2026-04-08 收盤 195.4 | 第3批 40% (累計100%) | 加碼後均價 184.4 (積分4) |   出場/現況 2026-04-23 收盤 272.2 | 原因: 觸發停損 | 最終均價 184.4 | 損益 +47.66%
2026-04-22,294.5,False,100,294.53,2026-04-28,251.4,觸發停損,-14.65,  進場 2026-04-22 收盤 294.5 | 大盤多頭 mult=2.2 | 初始停損 253.0 | 一次買滿100% |   出場/現況 2026-04-28 收盤 251.4 | 原因: 觸發停損 | 最終均價 294.5 | 損益 -14.65%
2026-04-22,294.5,True,30,294.53,2026-04-28,251.4,觸發停損,-14.65,  進場 2026-04-22 收盤 294.5 | 大盤多頭 mult=2.2 | 初始停損 253.0 | 首批30% |   出場/現況 2026-04-28 收盤 251.4 | 原因: 觸發停損 | 最終均價 294.5 | 損益 -14.65% | 分批只完成到第1批(30%)
2026-06-26,343.6,False,100,343.61,2026-07-13,359.5,觸發停損,4.62,  進場 2026-06-26 收盤 343.6 | 大盤空頭 mult=1.5 | 初始停損 308.7 | 一次買滿100% |   出場/現況 2026-07-13 收盤 359.5 | 原因: 觸發停損 | 最終均價 343.6 | 損益 +4.62%
2026-06-26,343.6,True,100,352.39,2026-07-13,359.5,觸發停損,2.02,  進場 2026-06-26 收盤 343.6 | 大盤空頭 mult=1.5 | 初始停損 308.7 | 首批30% |   加碼 2026-06-29 收盤 341.1 | 第2批 30% (累計60%) | 加碼後均價 342.4 (積分4) |   加碼 2026-06-30 收盤 367.4 | 第3批 40% (累計100%) | 加碼後均價 352.4 (積分4) |   出場/現況 2026-07-13 收盤 359.5 | 原因: 觸發停損 | 最終均價 352.4 | 損益 +2.02%
2026-07-03,394.0,False,100,394.0,2026-07-13,359.5,觸發停損,-8.76,  進場 2026-07-03 收盤 394.0 | 大盤多頭 mult=2.2 | 初始停損 331.0 | 一次買滿100% |   出場/現況 2026-07-13 收盤 359.5 | 原因: 觸發停損 | 最終均價 394.0 | 損益 -8.76%
2026-07-03,394.0,True,100,388.6,2026-07-13,359.5,觸發停損,-7.49,  進場 2026-07-03 收盤 394.0 | 大盤多頭 mult=2.2 | 初始停損 331.0 | 首批30% |   加碼 2026-07-06 收盤 396.0 | 第2批 30% (累計60%) | 加碼後均價 395.0 (積分4) |   加碼 2026-07-07 收盤 379.0 | 第3批 40% (累計100%) | 加碼後均價 388.6 (積分4) |   出場/現況 2026-07-13 收盤 359.5 | 原因: 觸發停損 | 最終均價 388.6 | 損益 -7.49%
2026-08-07,389.0,False,100,389.0,2026-08-10,427.5,尚未出場(以08/10價格試算未實現損益),9.9,  進場 2026-08-07 收盤 389.0 | 大盤多頭 mult=2.2 | 初始停損 321.4 | 一次買滿100% |   出場/現況 2026-08-10 收盤 427.5 | 原因: 尚未出場(以08/10價格試算未實現損益) | 最終均價 389.0 | 損益 +9.90%
2026-08-07,389.0,True,60,408.25,2026-08-10,427.5,尚未出場(以08/10價格試算未實現損益),4.72,  進場 2026-08-07 收盤 389.0 | 大盤多頭 mult=2.2 | 初始停損 321.4 | 首批30% |   加碼 2026-08-10 收盤 427.5 | 第2批 30% (累計60%) | 加碼後均價 408.2 (積分1) |   出場/現況 2026-08-10 收盤 427.5 | 原因: 尚未出場(以08/10價格試算未實現損益) | 最終均價 408.2 | 損益 +4.72% | 分批只完成到第2批(60%)
