期間,進場方式,股票代號,名稱,買進日,賣出日,買進價,賣出價,損益%,損益金額,持有天數,出場原因
全期間2021-2026,一次買完,3706,神達,2021-01-11,2021-01-12,22.88,22.61,-1.75,-2190.16,1,觸發停損
全期間2021-2026,一次買完,3044,健鼎,2021-01-11,2021-01-12,93.16,91.66,-2.2,-2743.76,1,觸發停損
全期間2021-2026,一次買完,2383,台光電,2021-01-11,2021-01-12,139.34,135.88,-3.07,-3834.77,1,觸發停損
全期間2021-2026,一次買完,3443,創意,2021-01-11,2021-01-12,376.26,372.98,-1.46,-1830.9,1,觸發停損
全期間2021-2026,一次買完,2454,聯發科,2021-01-11,2021-01-12,600.01,596.48,-1.18,-1477.79,1,觸發停損
全期間2021-2026,一次買完,3037,欣興,2021-01-11,2021-01-13,84.93,87.34,2.23,2787.33,2,觸發停損
全期間2021-2026,一次買完,3189,景碩,2021-01-11,2021-01-13,79.02,79.38,-0.15,-187.44,2,觸發停損
全期間2021-2026,一次買完,3529,力旺,2021-01-11,2021-01-13,617.97,634.13,2.0,2501.93,2,觸發停損
全期間2021-2026,一次買完,3324,雙鴻,2021-01-18,2021-01-19,214.85,209.15,-3.24,-4044.25,1,觸發停損
全期間2021-2026,一次買完,3227,未知,2021-01-18,2021-01-19,143.77,143.04,-1.1,-1380.1,1,觸發停損
全期間2021-2026,一次買完,3711,日月光投控,2021-01-18,2021-01-20,77.09,80.16,3.36,4197.6,2,觸發停損
全期間2021-2026,一次買完,2395,研華,2021-01-18,2021-01-20,291.14,294.69,0.61,765.47,2,觸發停損
全期間2021-2026,一次買完,2303,聯電,2021-01-18,2021-01-20,36.84,38.66,4.31,5383.51,2,觸發停損
全期間2021-2026,一次買完,3374,未知,2021-01-18,2021-01-20,183.29,176.5,-4.28,-5051.15,2,觸發停損
全期間2021-2026,一次買完,3105,穩懋,2021-01-18,2021-01-27,380.76,390.18,1.86,2325.62,9,積分轉負
全期間2021-2026,一次買完,2449,京元電子,2021-01-18,2021-01-28,27.51,28.55,3.16,3953.67,10,積分轉負
全期間2021-2026,一次買完,2317,鴻海,2021-01-25,2021-01-29,98.31,89.12,-9.89,-10385.52,4,積分轉負
全期間2021-2026,一次買完,2382,廣達,2021-01-25,2021-01-29,60.53,57.94,-4.84,-8914.99,4,積分轉負
全期間2021-2026,一次買完,3231,緯創,2021-01-25,2021-02-01,23.6,23.52,-0.92,-1669.88,7,積分轉負
全期間2021-2026,一次買完,2376,技嘉,2021-01-25,2021-02-01,59.56,57.05,-4.79,-7156.57,7,積分轉負
全期間2021-2026,一次買完,2324,仁寶,2021-01-25,2021-02-23,15.91,16.17,1.03,1256.89,29,積分轉負
全期間2021-2026,一次買完,5269,祥碩,2021-02-01,2021-02-05,1757.81,1735.61,-1.85,-1568.42,4,積分轉負
全期間2021-2026,一次買完,3529,力旺,2021-02-01,2021-02-18,675.01,848.99,25.02,5176.25,17,15%停利
全期間2021-2026,一次買完,2492,未知,2021-02-01,2021-02-19,194.93,225.58,15.03,15815.96,18,15%停利
全期間2021-2026,一次買完,6415,未知,2021-02-01,2021-02-23,685.49,715.61,3.77,2912.06,22,積分轉負
全期間2021-2026,一次買完,2330,台積電,2021-02-01,2021-02-23,553.42,580.6,4.28,4780.52,22,積分轉負
全期間2021-2026,一次買完,2412,未知,2021-02-01,2021-03-02,86.78,87.18,-0.14,-638.8,29,積分轉負
全期間2021-2026,一次買完,2492,未知,2021-02-22,2021-02-25,237.49,228.98,-4.16,-9569.49,3,積分轉負
全期間2021-2026,一次買完,2368,金像電,2021-03-08,2021-03-10,56.44,53.84,-5.19,-3824.23,2,積分轉負
全期間2021-2026,一次買完,3189,景碩,2021-03-08,2021-03-17,82.14,82.59,-0.06,-35.74,9,積分轉負
全期間2021-2026,一次買完,3105,穩懋,2021-03-08,2021-03-18,340.84,344.88,0.58,462.81,10,積分轉負
全期間2021-2026,一次買完,2357,華碩,2021-03-08,2021-03-19,208.48,249.45,18.94,25311.48,11,15%停利
全期間2021-2026,一次買完,8299,群聯,2021-03-08,2021-03-19,356.19,366.0,2.14,1511.4,11,積分轉負
全期間2021-2026,一次買完,3231,緯創,2021-03-08,2021-03-25,24.05,25.11,3.78,7582.44,17,積分轉負
全期間2021-2026,一次買完,2324,仁寶,2021-03-08,2021-03-29,16.65,19.4,15.82,29217.85,21,15%停利
全期間2021-2026,一次買完,2356,英業達,2021-03-08,2021-04-01,19.8,20.61,3.46,6413.13,24,積分轉負
全期間2021-2026,一次買完,3661,世芯-KY,2021-03-15,2021-03-22,894.24,851.25,-5.38,-3759.55,7,積分轉負
全期間2021-2026,一次買完,2317,鴻海,2021-03-22,2021-03-25,103.91,101.11,-3.27,-4973.38,3,積分轉負
全期間2021-2026,一次買完,4958,未知,2021-03-22,2021-04-01,101.61,94.41,-7.64,-3439.1,10,觸發停損
全期間2021-2026,一次買完,5434,未知,2021-03-22,2021-04-13,101.54,101.92,-0.23,-551.69,22,積分轉負
全期間2021-2026,一次買完,6531,愛普*,2021-03-29,2021-04-07,400.95,393.28,-2.5,-3433.3,9,積分轉負
全期間2021-2026,一次買完,2436,未知,2021-03-29,2021-04-07,43.79,54.48,23.68,37602.36,9,15%停利
全期間2021-2026,一次買完,3034,聯詠,2021-03-29,2021-04-12,353.22,368.99,3.84,6625.34,14,觸發停損
全期間2021-2026,一次買完,3189,景碩,2021-03-29,2021-04-13,89.54,95.77,6.33,6347.09,15,觸發停損
全期間2021-2026,一次買完,8086,未知,2021-04-12,2021-04-14,151.12,143.7,-5.48,-8009.89,2,積分轉負
全期間2021-2026,一次買完,2303,聯電,2021-04-12,2021-04-15,39.77,39.4,-1.53,-2605.14,3,積分轉負
全期間2021-2026,一次買完,3413,未知,2021-04-12,2021-04-16,210.3,188.47,-10.92,-12646.4,4,積分轉負
全期間2021-2026,一次買完,2376,技嘉,2021-04-12,2021-04-21,76.85,78.7,1.79,3445.96,9,積分轉負
全期間2021-2026,一次買完,2353,宏碁,2021-04-12,2021-05-04,23.95,23.44,-2.74,-3214.25,22,觸發停損
全期間2021-2026,一次買完,6488,未知,2021-04-19,2021-04-23,717.97,725.74,0.48,938.12,4,積分轉負
全期間2021-2026,一次買完,2308,台達電,2021-04-19,2021-04-23,266.57,265.68,-0.93,-3065.61,4,積分轉負
全期間2021-2026,一次買完,2436,未知,2021-04-19,2021-05-04,64.84,65.51,0.43,489.95,15,觸發停損
全期間2021-2026,一次買完,6415,未知,2021-04-19,2021-05-06,644.53,745.73,15.01,17875.88,17,15%停利
全期間2021-2026,一次買完,2303,聯電,2021-04-26,2021-05-03,45.86,39.33,-14.75,-29057.63,7,觸發停損
全期間2021-2026,一次買完,3533,嘉澤,2021-04-26,2021-05-05,442.81,424.0,-4.82,-15097.63,9,觸發停損
全期間2021-2026,一次買完,6182,未知,2021-04-26,2021-05-11,52.15,42.66,-18.69,-8713.93,15,積分轉負
全期間2021-2026,一次買完,2376,技嘉,2021-04-26,2021-05-12,86.46,76.85,-11.64,-18860.21,16,觸發停損
全期間2021-2026,一次買完,3529,力旺,2021-05-03,2021-05-06,974.49,926.95,-5.45,-9146.15,3,積分轉負
全期間2021-2026,一次買完,5347,未知,2021-05-10,2021-05-12,89.87,79.66,-11.88,-22081.67,2,觸發停損
全期間2021-2026,一次買完,4966,譜瑞-KY,2021-05-10,2021-05-12,1231.04,1160.44,-6.3,-7898.29,2,積分轉負
全期間2021-2026,一次買完,3533,嘉澤,2021-05-10,2021-05-13,453.06,399.21,-12.41,-22518.72,3,觸發停損
全期間2021-2026,一次買完,2353,宏碁,2021-05-10,2021-05-13,25.9,22.0,-15.56,-22868.41,3,觸發停損
全期間2021-2026,一次買完,2059,川湖,2021-05-10,2021-06-29,343.28,362.56,4.98,9049.86,50,積分轉負
全期間2021-2026,一次買完,6415,未知,2021-05-17,2021-05-24,663.81,805.96,20.69,29637.21,7,15%停利
全期間2021-2026,一次買完,5269,祥碩,2021-05-17,2021-05-26,1047.58,1300.6,23.41,27361.3,9,15%停利
全期間2021-2026,一次買完,2345,智邦,2021-05-17,2021-05-27,246.13,265.97,7.41,11392.9,10,積分轉負
全期間2021-2026,一次買完,2360,致茂,2021-05-17,2021-06-01,154.17,161.88,4.37,7925.9,15,積分轉負
全期間2021-2026,一次買完,2368,金像電,2021-05-17,2021-06-01,46.55,55.09,17.63,3936.88,15,15%停利
全期間2021-2026,一次買完,8046,南電,2021-05-17,2021-06-07,260.57,303.71,15.86,20224.1,21,15%停利
全期間2021-2026,一次買完,6415,未知,2021-05-24,2021-06-04,805.96,813.19,0.29,507.06,11,積分轉負
全期間2021-2026,一次買完,5269,祥碩,2021-05-31,2021-06-07,1340.55,1238.45,-8.17,-22961.81,7,積分轉負
全期間2021-2026,一次買完,3037,欣興,2021-05-31,2021-06-17,100.68,119.92,18.4,5092.31,17,15%停利
全期間2021-2026,一次買完,2337,未知,2021-06-07,2021-06-09,36.7,35.94,-2.67,-5287.63,2,積分轉負
全期間2021-2026,一次買完,8046,南電,2021-06-07,2021-06-11,303.71,298.11,-2.43,-3640.54,4,積分轉負
全期間2021-2026,一次買完,3653,健策,2021-06-07,2021-06-15,259.26,242.53,-7.01,-12713.36,8,積分轉負
全期間2021-2026,一次買完,4966,譜瑞-KY,2021-06-07,2021-06-17,1310.46,1288.4,-2.27,-1958.62,10,積分轉負
全期間2021-2026,一次買完,3017,奇鋐,2021-06-07,2021-06-28,63.74,71.8,11.97,21437.73,21,積分轉負
