period,config,total_return,mdd,win_rate,profit_factor,total_trades
全期間2021-2026,卡片四防線(保本停利=adjust),140.52,21.51,44.88,1.61,205
全期間2021-2026,卡片四防線(保本停利=直接出清),179.46,21.15,45.15,1.43,361
全期間2021-2026,單一固定-8%停損(陽春版),320.32,40.75,31.58,22.25,19
全期間2021-2026,關掉防線A,316.87,23.03,48.61,3.02,144
全期間2021-2026,關掉防線B,137.51,22.14,45.05,1.6,202
全期間2021-2026,關掉高點打折鎖利,95.18,39.09,46.15,5.86,39
全期間2021-2026,關掉保本停利,221.29,19.86,42.08,1.92,202
全期間2021-2026,Scale-out分批賣出,126.24,28.26,60.61,4.62,66
全期間2021-2026,"卡片四防線(adjust,基準)",140.52,21.51,44.88,1.61,205
全期間2021-2026,關掉防線A,316.87,23.03,48.61,3.02,144
全期間2021-2026,保本停利=直接出清,179.46,21.15,45.15,1.43,361
全期間2021-2026,組合最佳(關防線A+保本直接出清),216.04,36.37,51.81,1.57,276
全期間2021-2026,Scale-out分批賣出,126.24,28.26,60.61,4.62,66
2022空頭年,"卡片四防線(adjust,基準)",-19.93,22.04,20.69,4.71,29
2022空頭年,關掉防線A,-20.28,24.37,25.81,6.57,31
2022空頭年,保本停利=直接出清,-19.78,21.72,23.53,4.48,34
2022空頭年,組合最佳(關防線A+保本直接出清),-14.99,20.72,32.43,7.25,37
2022空頭年,Scale-out分批賣出,-16.91,23.12,38.64,7.14,44
2024多頭年,"卡片四防線(adjust,基準)",33.65,11.39,52.78,16.49,36
2024多頭年,關掉防線A,34.8,10.54,56.67,11.07,30
2024多頭年,保本停利=直接出清,25.69,12.44,48.28,6.1,58
2024多頭年,組合最佳(關防線A+保本直接出清),15.17,27.32,56.9,9.12,58
2024多頭年,Scale-out分批賣出,26.11,18.79,60.87,7.06,46
