ticker,buy_date,sell_date,entry_regime,buy_price,sell_price,reason,pnl_pct,pnl,hold_days,final_stage
5269,2021-02-01,2021-02-19,空頭,1757.81,1558.06,高點打折鎖利,-11.89,-2733.87,18,1
6415,2021-02-01,2021-03-02,空頭,685.49,627.66,高點打折鎖利,-8.98,-1885.12,29,1
2492,2021-02-01,2021-03-02,空頭,194.93,213.66,高點打折鎖利,8.95,2558.63,29,1
3529,2021-02-01,2021-03-04,空頭,675.01,777.69,保本停利(直接出清),14.52,2855.08,31,1
2330,2021-02-01,2021-03-24,空頭,553.42,523.86,高點打折鎖利,-5.91,-1791.44,51,1
6438,2021-02-01,2021-05-03,空頭,67.23,81.62,高點打折鎖利,20.67,13692.93,91,3
2454,2021-02-01,2021-05-04,空頭,635.06,764.99,保本停利(直接出清),19.74,10969.13,92,3
6488,2021-02-22,2021-05-06,多頭,675.63,628.11,高點打折鎖利,-7.59,-54662.62,73,3
5347,2021-05-10,2021-05-11,多頭,89.87,85.94,防線B(破支撐),-4.94,-9483.53,1,3
2353,2021-05-10,2021-05-13,多頭,25.9,22.0,防線B(破支撐),-15.56,-23632.34,3,3
2376,2021-05-10,2021-05-13,多頭,94.59,71.83,防線B(破支撐),-24.52,-28526.77,3,3
6415,2021-05-17,2021-05-24,空頭,663.81,805.96,保本停利(直接出清),20.69,16327.04,7,3
6415,2021-05-24,2021-06-08,空頭,823.06,774.64,高點打折鎖利,-6.45,-3683.62,15,2
3529,2021-05-03,2021-06-22,多頭,974.49,1292.98,保本停利(直接出清),31.89,25496.0,50,3
5269,2021-05-17,2021-06-22,空頭,1092.2,1256.21,保本停利(直接出清),14.33,18552.51,36,3
8046,2021-05-17,2021-06-22,空頭,263.81,333.91,保本停利(直接出清),25.82,34764.78,36,3
2345,2021-05-17,2021-07-20,空頭,246.13,309.25,保本停利(直接出清),24.89,13749.11,64,3
4966,2021-05-10,2021-07-21,多頭,1231.04,1478.13,保本停利(直接出清),19.35,16314.85,72,3
8086,2021-06-28,2021-07-21,多頭,145.09,176.49,保本停利(直接出清),20.91,22619.28,23,3
3227,2021-07-26,2021-08-06,空頭,161.93,143.0,高點打折鎖利,-12.21,-19251.85,11,2
3661,2021-07-26,2021-08-06,空頭,652.53,545.52,防線B(破支撐),-16.9,-7881.94,11,1
5483,2021-07-26,2021-08-11,空頭,165.55,142.58,防線B(破支撐),-14.39,-4698.64,16,2
2383,2021-06-21,2021-08-13,多頭,184.77,180.01,高點打折鎖利,-3.16,-2892.25,53,3
6415,2021-06-28,2021-08-17,多頭,879.45,841.9,高點打折鎖利,-4.84,-15240.46,50,3
3533,2021-05-10,2021-08-18,多頭,453.06,433.4,高點打折鎖利,-4.91,-9207.75,100,3
3037,2021-07-26,2021-08-19,空頭,130.65,117.23,高點打折鎖利,-10.81,-6861.34,24,3
8081,2021-08-16,2021-09-07,空頭,191.59,170.42,防線B(破支撐),-11.58,-10267.67,22,3
3661,2021-08-23,2021-09-17,空頭,620.01,816.13,保本停利(直接出清),30.85,31633.75,25,3
5347,2021-08-09,2021-09-29,空頭,113.67,116.37,高點打折鎖利,1.76,2959.1,51,3
2303,2021-08-09,2021-10-04,空頭,45.5,46.58,高點打折鎖利,1.75,2170.41,56,3
3653,2021-08-23,2021-10-08,空頭,262.56,303.51,保本停利(直接出清),14.9,16717.43,46,3
3443,2021-09-13,2021-10-08,多頭,439.23,505.78,保本停利(直接出清),14.46,11338.56,25,3
3017,2021-09-27,2021-10-12,空頭,72.23,67.23,高點打折鎖利,-7.48,-10036.06,15,3
3661,2021-10-18,2021-11-24,空頭,898.03,1055.09,高點打折鎖利,16.79,7646.4,37,1
6282,2021-10-04,2021-11-26,空頭,24.86,30.64,保本停利(直接出清),22.53,70992.43,53,3
3653,2021-10-18,2021-11-26,空頭,291.58,343.16,保本停利(直接出清),16.99,5416.12,39,1
2382,2021-10-04,2021-12-14,空頭,59.01,68.08,保本停利(直接出清),14.68,25375.59,71,3
6414,2021-11-29,2022-01-07,空頭,195.8,201.32,保本停利(防守線回落),2.2,6208.07,39,3
3653,2021-11-29,2022-01-11,空頭,361.49,324.83,高點打折鎖利,-10.68,-8915.15,43,2
2412,2021-02-01,2022-02-22,空頭,86.96,102.14,保本停利(直接出清),16.75,26276.18,386,3
2324,2021-08-23,2022-02-22,空頭,17.71,20.41,保本停利(直接出清),14.51,24780.92,183,3
6196,2022-01-10,2022-02-24,多頭,155.82,124.82,防線B(破支撐),-20.37,-58694.78,45,3
2330,2022-01-17,2022-03-07,多頭,629.47,530.86,防線B(破支撐),-16.17,-12058.05,49,3
3533,2021-11-29,2022-03-08,空頭,613.77,589.49,高點打折鎖利,-4.53,-14018.75,99,3
3005,2022-03-07,2022-03-28,空頭,43.71,40.76,防線B(破支撐),-7.31,-9636.72,21,2
2359,2022-03-07,2022-04-01,空頭,23.67,24.74,保本停利(防守線回落),3.89,4534.57,25,3
8996,2022-03-07,2022-04-11,空頭,55.22,55.92,高點打折鎖利,0.65,1132.27,35,3
3081,2022-03-07,2022-04-13,空頭,157.93,150.03,防線B(破支撐),-5.57,-14297.92,37,3
2353,2021-10-18,2022-04-25,空頭,20.81,20.97,高點打折鎖利,0.14,105.66,189,3
2395,2022-04-25,2022-05-05,空頭,300.13,277.11,防線B(破支撐),-8.22,-6127.01,10,3
6669,2022-03-14,2022-05-24,空頭,884.91,760.55,防線B(破支撐),-14.57,-7851.67,71,3
3374,2022-04-18,2022-06-20,空頭,118.95,114.76,高點打折鎖利,-4.1,-1702.71,63,3
3680,2022-05-30,2022-06-20,多頭,232.51,201.99,高點打折鎖利,-13.65,-6283.5,21,3
6206,2022-04-11,2022-06-29,空頭,58.99,71.85,保本停利(直接出清),21.08,42322.48,79,3
4958,2022-03-28,2022-07-01,多頭,93.49,83.74,高點打折鎖利,-10.97,-13392.47,95,3
2480,2022-03-07,2022-07-06,空頭,70.82,62.73,高點打折鎖利,-11.95,-27993.04,121,3
2356,2021-08-16,2022-07-18,空頭,19.63,19.49,高點打折鎖利,-1.33,-825.31,336,3
4979,2022-07-04,2022-08-03,空頭,24.92,25.65,保本停利(防守線回落),2.29,8042.11,30,3
8114,2022-07-04,2022-08-23,空頭,113.31,130.7,保本停利(直接出清),14.66,22649.2,50,3
1513,2022-07-04,2022-08-23,空頭,47.37,59.08,保本停利(直接出清),23.97,12397.95,50,3
3081,2022-08-08,2022-09-19,多頭,137.16,136.28,高點打折鎖利,-1.23,-4800.71,42,3
3017,2022-07-18,2022-09-20,空頭,95.77,111.86,保本停利(直接出清),16.09,2956.8,64,3
2412,2022-04-11,2022-09-21,空頭,106.64,100.73,防線B(破支撐),-6.11,-18029.22,163,3
2313,2022-07-18,2022-09-26,空頭,43.77,39.72,高點打折鎖利,-9.8,-4203.04,70,3
3661,2022-08-29,2022-09-28,空頭,837.97,790.36,高點打折鎖利,-6.25,-5277.67,30,3
1503,2022-06-20,2022-10-11,空頭,54.33,50.64,高點打折鎖利,-7.35,-5848.0,113,3
6533,2022-08-29,2022-10-11,空頭,372.09,370.36,高點打折鎖利,-1.06,-1346.21,43,3
5227,2022-09-26,2022-10-11,空頭,73.04,85.89,保本停利(直接出清),16.89,62294.92,15,3
2368,2022-09-26,2022-10-17,空頭,87.68,77.95,防線B(破支撐),-11.63,-36899.93,21,3
2337,2022-10-17,2022-10-28,空頭,30.52,26.72,防線B(破支撐),-12.95,-12076.94,11,2
3289,2022-10-17,2022-12-08,空頭,66.51,78.75,保本停利(直接出清),17.69,17227.87,52,3
2454,2022-10-17,2022-12-08,空頭,468.14,568.48,保本停利(直接出清),20.71,33013.32,52,3
3587,2022-10-31,2022-12-08,空頭,117.24,137.68,保本停利(直接出清),16.73,13579.54,38,3
2492,2022-10-17,2022-12-21,空頭,72.0,71.58,高點打折鎖利,-1.19,-1900.85,65,3
2376,2022-09-19,2023-01-03,空頭,84.7,98.65,保本停利(直接出清),15.78,18226.85,106,3
2317,2022-05-09,2023-01-04,空頭,86.36,85.5,高點打折鎖利,-1.59,-1086.6,240,3
8050,2022-12-12,2023-01-11,空頭,67.29,61.68,高點打折鎖利,-8.89,-22452.29,30,3
3105,2023-01-09,2023-02-13,多頭,165.3,163.84,高點打折鎖利,-1.47,-1472.31,35,3
6412,2022-10-17,2023-02-24,空頭,55.68,64.37,保本停利(直接出清),14.93,35864.61,130,3
6415,2023-01-16,2023-03-10,多頭,504.22,549.88,高點打折鎖利,8.4,19346.96,53,3
2449,2023-02-13,2023-03-10,多頭,33.9,39.44,保本停利(直接出清),15.66,15425.89,25,3
8299,2022-12-12,2023-03-16,空頭,281.32,323.67,保本停利(直接出清),14.36,19665.6,94,3
2356,2022-12-26,2023-04-19,空頭,22.93,28.53,保本停利(直接出清),23.71,37522.68,114,3
6531,2023-03-13,2023-04-21,空頭,276.96,271.5,高點打折鎖利,-2.56,-1916.64,39,3
4966,2023-03-13,2023-04-25,空頭,927.93,904.59,高點打折鎖利,-3.1,-3544.5,43,3
2382,2023-04-24,2023-05-12,空頭,75.55,89.97,保本停利(直接出清),18.37,17593.3,18,3
2308,2022-10-17,2023-06-27,空頭,251.68,321.73,保本停利(直接出清),27.06,43341.95,253,3
2449,2023-03-13,2023-06-27,空頭,40.55,47.89,保本停利(直接出清),17.39,57524.94,106,3
2368,2023-04-24,2023-06-27,空頭,96.83,128.78,保本停利(直接出清),32.21,19502.34,64,3
2382,2023-05-15,2023-06-27,空頭,86.52,125.43,保本停利(直接出清),44.11,15002.52,43,1
3661,2023-05-15,2023-06-27,空頭,1317.26,1707.57,保本停利(直接出清),28.85,6855.62,43,1
6830,2023-04-24,2023-06-30,空頭,142.0,164.01,保本停利(直接出清),14.81,33079.63,67,3
6285,2023-07-03,2023-07-11,多頭,87.93,103.81,保本停利(直接出清),17.34,41339.64,8,3
6669,2023-07-03,2023-07-12,多頭,1388.23,1611.09,保本停利(直接出清),15.36,20797.09,9,3
3035,2023-07-03,2023-07-27,多頭,219.15,318.16,高點打折鎖利,44.31,68601.53,24,3
8996,2023-07-03,2023-07-28,多頭,360.1,351.39,高點打折鎖利,-3.0,-3407.93,25,3
3680,2023-07-03,2023-08-02,多頭,405.18,318.05,防線B(破支撐),-21.97,-34919.65,30,3
6274,2023-07-17,2023-08-02,多頭,97.86,104.79,高點打折鎖利,6.43,31246.3,16,3
1519,2023-07-17,2023-08-02,多頭,155.26,147.72,高點打折鎖利,-5.42,-745.78,16,3
8050,2023-07-03,2023-08-16,多頭,80.04,94.03,保本停利(直接出清),16.78,33340.58,44,3
5434,2023-03-06,2023-08-22,多頭,165.41,149.75,高點打折鎖利,-10.01,-27626.65,169,3
3044,2023-07-31,2023-08-28,多頭,152.16,175.12,保本停利(直接出清),14.4,48025.96,28,3
2357,2023-08-07,2023-09-12,空頭,322.21,313.81,高點打折鎖利,-3.19,-2640.42,36,3
8081,2023-08-07,2023-09-12,空頭,185.67,219.18,保本停利(直接出清),17.34,31572.42,36,3
6412,2023-08-07,2023-09-21,空頭,103.03,97.06,高點打折鎖利,-6.37,-9253.88,45,3
6274,2023-09-25,2023-10-17,空頭,125.21,119.1,高點打折鎖利,-5.45,-7416.97,22,3
2337,2023-08-28,2023-10-25,空頭,31.16,29.11,防線B(破支撐),-7.14,-21798.83,58,3
6139,2023-10-30,2023-12-04,空頭,122.42,127.03,保本停利(防守線回落),3.14,2669.67,35,1
1519,2023-12-04,2023-12-21,多頭,223.57,230.07,高點打折鎖利,2.29,6560.39,17,3
2404,2023-08-07,2024-01-03,空頭,201.94,235.14,保本停利(直接出清),15.74,63928.83,149,3
3533,2023-08-21,2024-01-03,空頭,766.81,938.4,保本停利(直接出清),21.65,15073.81,135,3
6531,2023-09-18,2024-01-03,多頭,354.06,449.84,保本停利(直接出清),26.29,77429.4,107,3
2454,2023-09-18,2024-01-03,多頭,698.17,850.84,保本停利(直接出清),21.14,17275.36,107,3
2385,2023-10-23,2024-01-03,空頭,106.48,149.82,保本停利(直接出清),39.86,51298.94,72,3
6415,2023-12-25,2024-01-09,多頭,423.41,422.92,高點打折鎖利,-0.71,-2088.04,15,3
2301,2024-01-08,2024-01-10,空頭,103.96,97.15,防線B(破支撐),-7.11,-8446.58,2,2
2385,2024-01-08,2024-01-31,空頭,155.8,140.03,防線B(破支撐),-10.66,-17738.99,23,3
6531,2024-01-15,2024-02-19,空頭,516.07,447.94,高點打折鎖利,-13.72,-45539.26,35,3
6643,2024-01-15,2024-03-06,空頭,1097.1,1334.82,高點打折鎖利,20.94,73973.6,51,3
3081,2024-02-05,2024-03-25,多頭,118.76,125.09,高點打折鎖利,4.69,6979.82,49,3
5269,2024-01-08,2024-04-15,空頭,1747.22,2069.94,高點打折鎖利,17.76,21193.21,98,3
2412,2022-12-12,2024-04-16,空頭,96.33,111.03,保本停利(直接出清),14.57,16504.42,491,3
3711,2023-08-28,2024-04-16,空頭,109.42,141.58,保本停利(直接出清),28.62,69308.63,232,3
6139,2024-01-08,2024-04-16,空頭,153.67,287.31,高點打折鎖利,85.84,91002.94,99,3
2330,2024-01-08,2024-04-16,空頭,561.99,761.45,保本停利(直接出清),34.68,142178.83,99,3
3324,2024-03-11,2024-04-16,多頭,606.16,714.27,高點打折鎖利,17.13,73182.1,36,3
3533,2024-03-25,2024-04-16,多頭,1304.38,1313.77,高點打折鎖利,0.12,181.69,22,3
2395,2024-04-22,2024-05-02,空頭,345.21,332.66,防線B(破支撐),-4.21,-4368.09,10,2
2301,2024-04-22,2024-06-11,空頭,91.15,96.43,高點打折鎖利,5.16,6048.19,50,3
2492,2024-04-22,2024-07-18,空頭,102.66,121.58,保本停利(直接出清),17.72,16005.77,87,3
4958,2024-04-22,2024-07-18,空頭,105.82,137.56,保本停利(直接出清),29.21,27568.85,87,3
2317,2024-05-06,2024-07-18,多頭,153.03,191.16,保本停利(直接出清),24.17,241666.56,73,3
3529,2024-06-17,2024-07-19,多頭,2659.64,2412.12,高點打折鎖利,-9.85,-13587.05,32,3
6515,2024-04-15,2024-07-23,多頭,851.99,1012.59,保本停利(直接出清),18.14,25486.99,99,3
2395,2024-07-22,2024-07-26,空頭,355.11,334.11,防線B(破支撐),-6.48,-8744.91,4,2
2376,2024-02-19,2024-08-05,多頭,332.66,214.88,防線B(破支撐),-35.79,-102492.08,168,3
6214,2024-04-22,2024-08-05,空頭,107.05,98.93,防線B(破支撐),-8.14,-13864.07,105,3
6830,2024-07-22,2024-08-05,空頭,141.63,121.33,防線B(破支撐),-14.84,-23908.47,14,3
6183,2024-07-22,2024-08-05,空頭,70.51,67.96,防線B(破支撐),-4.19,-23120.84,14,3
2404,2024-07-29,2024-08-05,空頭,313.68,287.35,防線B(破支撐),-8.94,-61826.22,7,3
3374,2024-07-29,2024-08-05,空頭,218.2,197.22,高點打折鎖利,-10.16,-28959.87,7,3
3131,2024-07-22,2024-08-14,空頭,1445.76,1741.72,保本停利(直接出清),19.75,12223.39,23,3
6187,2024-08-12,2024-08-15,空頭,296.7,341.42,保本停利(直接出清),14.38,16859.27,3,3
3583,2024-08-12,2024-09-02,空頭,411.78,393.23,高點打折鎖利,-5.07,-5621.25,21,3
1609,2024-08-12,2024-09-05,空頭,50.66,45.69,高點打折鎖利,-10.34,-18427.06,24,3
3529,2024-08-19,2024-09-06,多頭,2559.8,2269.36,高點打折鎖利,-11.88,-60520.41,18,3
6515,2024-09-09,2024-09-23,空頭,1195.14,1246.26,保本停利(防守線回落),3.65,10014.02,14,3
8996,2024-09-09,2024-10-07,空頭,376.48,344.35,高點打折鎖利,-9.08,-30359.53,28,3
2303,2024-08-12,2024-10-29,空頭,50.91,44.7,防線B(破支撐),-12.73,-32996.92,78,3
3289,2024-08-19,2024-10-29,多頭,141.07,176.57,保本停利(直接出清),24.42,119496.31,71,3
6438,2024-10-07,2024-10-29,多頭,166.52,192.39,保本停利(直接出清),14.85,45118.29,22,3
3231,2024-08-12,2024-11-13,空頭,95.84,112.86,保本停利(直接出清),17.06,28530.0,93,3
3583,2024-09-23,2024-11-15,多頭,443.12,426.49,高點打折鎖利,-4.33,-12297.24,53,3
3587,2024-08-12,2024-11-18,空頭,264.52,238.49,高點打折鎖利,-10.38,-17359.67,98,3
3706,2024-11-18,2024-11-22,空頭,63.75,74.63,保本停利(直接出清),16.37,47762.09,4,3
2382,2024-11-04,2024-11-27,空頭,278.63,262.26,高點打折鎖利,-6.44,-15406.61,23,3
2345,2024-11-18,2024-12-02,空頭,596.5,689.45,保本停利(直接出清),14.89,51512.23,14,3
6202,2024-11-18,2024-12-09,空頭,52.95,49.1,防線B(破支撐),-7.82,-28324.8,21,3
3380,2024-09-02,2024-12-16,多頭,34.13,32.0,高點打折鎖利,-6.82,-14007.7,105,3
3706,2024-11-25,2024-12-16,空頭,75.64,68.15,高點打折鎖利,-10.43,-35415.4,21,3
3661,2024-11-04,2024-12-20,空頭,2268.53,3204.64,保本停利(直接出清),40.42,141479.26,46,3
2383,2024-12-02,2024-12-20,空頭,497.47,588.28,保本停利(直接出清),17.55,27168.32,18,1
6442,2024-11-04,2024-12-31,空頭,509.83,632.14,保本停利(直接出清),23.25,49214.45,57,3
2368,2024-12-09,2024-12-31,多頭,198.06,234.46,保本停利(直接出清),17.67,116736.02,22,3
3324,2024-12-02,2025-01-13,空頭,688.1,609.15,高點打折鎖利,-12.0,-16794.17,42,1
6139,2025-01-06,2025-02-27,多頭,226.19,263.73,保本停利(直接出清),15.9,67096.02,52,3
2308,2024-12-16,2025-03-04,多頭,416.38,368.97,高點打折鎖利,-11.92,-59039.5,78,3
5269,2025-01-06,2025-03-10,多頭,1969.32,1807.2,高點打折鎖利,-8.78,-25885.82,63,3
2330,2024-12-23,2025-03-11,多頭,1056.37,949.75,防線B(破支撐),-10.63,-32990.77,78,3
8046,2025-01-06,2025-03-25,多頭,137.49,124.63,高點打折鎖利,-9.89,-27962.47,78,3
6412,2025-01-13,2025-03-31,空頭,116.06,103.69,防線B(破支撐),-11.19,-18042.93,77,3
2059,2025-03-03,2025-03-31,空頭,1947.86,1631.93,高點打折鎖利,-16.72,-78737.26,28,3
8299,2025-03-10,2025-03-31,空頭,557.71,506.95,高點打折鎖利,-9.65,-28426.64,21,3
3034,2024-12-23,2025-04-07,多頭,453.68,433.72,高點打折鎖利,-4.97,-18025.3,105,3
2303,2025-03-10,2025-04-09,空頭,41.46,36.85,防線B(破支撐),-11.65,-82145.6,30,3
2404,2025-03-31,2025-06-02,空頭,425.86,515.09,保本停利(直接出清),20.23,202302.05,63,3
3231,2025-04-14,2025-06-02,空頭,93.07,107.27,保本停利(直接出清),14.56,23036.5,49,3
6214,2025-04-14,2025-06-20,空頭,105.58,100.29,高點打折鎖利,-5.57,-9692.61,67,3
6274,2025-06-02,2025-06-23,空頭,179.07,212.3,保本停利(直接出清),17.85,55296.6,21,2
2337,2025-04-14,2025-07-15,空頭,19.39,20.15,保本停利(防守線回落),3.29,4034.4,92,3
6206,2025-04-14,2025-07-29,空頭,103.27,109.75,高點打折鎖利,5.64,7153.35,106,3
2303,2025-04-14,2025-08-07,空頭,41.26,39.72,高點打折鎖利,-4.31,-9968.63,115,3
2412,2024-04-22,2025-08-20,空頭,111.43,131.41,保本停利(直接出清),17.23,61125.57,485,3
2404,2025-06-02,2025-08-20,空頭,536.06,1002.78,保本停利(直接出清),85.95,415764.61,79,3
