total_return,cagr,mdd,win_rate,profit_factor,total_trades,period,strategy
314.29,28.92,21.1,43.15,1.67,839,全期間2021-2026,A
191.93,21.1,27.4,43.81,1.48,719,全期間2021-2026,B
206.64,22.17,43.09,43.86,1.48,684,全期間2021-2026,C
246.98,24.9,41.59,44.2,1.6,647,全期間2021-2026,D
188.41,20.84,34.75,38.03,1.5,610,全期間2021-2026,E
63.29,63.34,9.09,46.58,4.73,146,2024多頭年,A
30.82,30.84,16.05,47.33,4.56,131,2024多頭年,B
34.7,34.73,12.95,46.15,2.97,130,2024多頭年,C
21.57,21.59,13.46,45.76,3.42,118,2024多頭年,D
24.43,24.45,11.79,44.23,8.45,104,2024多頭年,E
-23.94,-24.01,30.49,26.72,0.94,116,2022空頭年,A
-20.64,-20.7,23.55,34.15,4.66,82,2022空頭年,B
-27.11,-27.19,30.36,28.87,5.3,97,2022空頭年,C
-35.65,-35.75,41.53,26.4,1.62,125,2022空頭年,D
-24.1,-24.17,27.81,27.63,3.1,76,2022空頭年,E
