rank,total_return,mdd,win_rate,profit_factor,total_trades,use_a,use_b,use_trail,tp_mode,use_dualsell
1,671.27,47.84,55.7,4.9,149,False,False,False,off,False
2,576.39,46.95,54.32,4.81,162,False,False,False,adjust,False
3,571.61,35.29,50.22,3.16,231,False,True,True,off,False
4,554.19,22.11,45.16,2.79,341,True,False,True,sell,False
5,539.83,28.04,47.12,2.8,312,True,False,False,sell,False
6,514.95,30.18,56.44,2.75,264,False,True,False,sell,False
7,480.46,35.71,50.64,3.04,235,False,True,True,adjust,False
8,474.98,38.27,50.49,3.21,206,False,False,True,off,False
9,462.46,29.52,46.42,2.55,321,True,True,False,sell,False
10,459.94,46.06,59.36,3.0,219,False,False,False,sell,False
11,459.39,21.48,43.99,2.51,341,True,True,True,sell,False
12,455.65,23.78,42.46,2.52,431,True,False,True,off,True
13,454.65,27.2,53.11,2.84,273,False,False,True,sell,False
14,450.4,24.31,41.61,2.47,447,True,True,True,off,True
15,432.23,39.29,50.48,3.16,210,False,False,True,adjust,False
16,414.06,26.08,42.05,3.09,195,True,True,False,off,False
17,409.67,24.45,49.49,2.55,297,False,True,True,sell,False
18,396.95,34.42,54.49,3.21,178,False,True,False,adjust,False
19,394.02,23.28,41.88,2.28,437,True,False,True,adjust,True
20,393.69,29.48,47.44,2.46,449,False,True,False,sell,True
21,390.55,23.27,41.2,2.3,415,True,False,False,off,True
22,388.61,34.22,43.78,2.33,249,True,False,True,off,False
23,383.83,24.78,41.41,2.25,454,True,True,True,adjust,True
24,377.05,28.66,44.06,2.34,261,True,True,True,off,False
25,376.03,40.9,49.09,2.94,165,False,True,False,off,False
26,375.17,35.64,48.36,2.42,426,False,False,False,sell,True
27,369.66,34.68,44.34,2.47,415,False,True,True,off,True
28,368.52,33.31,44.85,2.36,388,False,True,False,off,True
29,367.82,25.97,40.8,2.27,424,True,True,False,off,True
30,363.68,23.14,48.26,3.42,201,True,True,False,adjust,False
31,359.34,27.59,44.8,2.28,471,False,True,True,sell,True
32,357.03,33.98,44.39,2.48,410,False,True,True,adjust,True
33,344.16,24.06,42.79,2.26,409,True,False,False,adjust,True
34,341.61,25.1,45.55,3.37,191,True,False,False,adjust,False
35,338.72,39.71,44.83,2.33,377,False,False,False,off,True
36,318.27,22.79,42.8,2.0,493,True,True,False,sell,True
37,316.67,25.99,43.61,2.21,266,True,True,True,adjust,False
38,314.49,20.14,42.22,1.99,495,True,True,True,sell,True
39,306.35,26.38,41.08,2.11,426,True,True,False,adjust,True
40,295.0,32.76,45.13,2.23,390,False,True,False,adjust,True
41,278.3,40.15,45.37,2.07,454,False,False,True,sell,True
42,275.78,39.71,44.09,2.14,406,False,False,True,adjust,True
43,275.15,40.39,43.55,2.09,411,False,False,True,off,True
44,270.78,22.65,41.71,2.51,187,True,False,False,off,False
45,266.94,29.83,41.99,1.85,493,True,False,True,sell,True
46,262.67,39.71,44.59,2.19,370,False,False,False,adjust,True
47,244.33,33.24,43.03,1.84,488,True,False,False,sell,True
48,241.31,28.05,45.14,2.02,257,True,False,True,adjust,False
