rank,total_return,mdd,win_rate,profit_factor,total_trades,use_a,use_b,use_trail,tp_mode,use_dualsell
1,651.37,38.26,50.94,4.38,159,False,False,False,adjust,False
2,558.02,41.1,54.42,4.28,147,False,False,False,off,False
3,537.29,27.82,43.5,3.41,177,True,True,False,off,False
4,450.35,32.84,54.07,3.64,172,False,True,False,adjust,False
5,436.95,32.46,57.34,3.07,218,False,True,False,sell,False
6,408.8,30.66,47.29,2.67,332,False,True,False,off,True
7,408.07,30.01,43.86,2.84,171,True,False,False,off,False
8,407.3,38.0,47.37,2.81,323,False,False,False,adjust,True
9,393.71,39.48,53.95,3.31,152,False,True,False,off,False
10,392.84,23.45,42.54,2.41,362,True,True,True,off,True
11,362.61,32.5,45.74,2.58,352,False,True,True,off,True
12,362.09,23.21,42.69,2.37,349,True,True,False,off,True
13,359.69,25.29,43.3,2.22,351,True,False,False,off,True
14,355.77,22.05,41.8,2.3,366,True,True,True,adjust,True
15,347.5,23.91,47.45,2.89,196,True,True,False,adjust,False
16,347.32,29.16,46.88,2.53,337,False,True,False,adjust,True
17,347.11,38.1,45.29,2.48,340,False,False,True,off,True
18,343.65,24.75,45.55,2.19,292,True,True,True,sell,False
19,339.99,36.24,59.56,2.89,183,False,False,False,sell,False
20,339.75,24.55,52.36,2.46,254,False,True,True,sell,False
21,336.67,26.94,41.8,2.26,366,True,False,True,adjust,True
22,333.59,26.28,47.75,2.96,178,True,False,False,adjust,False
23,324.49,30.98,44.85,2.34,359,False,True,True,adjust,True
24,323.87,22.26,41.81,2.29,354,True,True,False,adjust,True
25,323.52,28.3,42.15,2.18,363,True,False,True,off,True
26,317.58,27.42,42.42,2.13,363,True,False,False,adjust,True
27,309.56,36.69,44.67,2.27,347,False,False,True,adjust,True
28,305.94,35.27,44.94,2.14,267,True,False,False,sell,False
29,290.78,37.87,50.95,2.26,210,False,True,True,off,False
30,280.16,35.47,43.86,2.04,285,True,False,True,sell,False
31,271.1,22.29,42.34,1.94,411,True,True,False,sell,True
32,269.36,26.03,46.81,2.07,376,False,True,False,sell,True
33,263.25,40.85,49.23,2.2,195,False,False,True,off,False
34,259.31,38.79,45.54,2.15,314,False,False,False,off,True
35,258.03,38.02,52.3,2.15,239,False,False,True,sell,False
36,255.09,34.05,45.39,1.92,271,True,True,False,sell,False
37,249.76,29.91,44.44,2.01,387,False,True,True,sell,True
38,239.14,26.45,41.26,1.84,412,True,True,True,sell,True
39,236.39,31.34,42.22,1.83,405,True,False,False,sell,True
40,222.96,50.17,48.78,2.08,205,False,False,True,adjust,False
41,220.53,35.96,45.71,1.88,361,False,False,False,sell,True
42,212.49,38.71,52.66,2.42,207,False,True,True,adjust,False
43,207.42,27.5,48.23,2.1,226,True,True,True,adjust,False
44,199.72,35.74,45.02,1.87,231,True,False,True,off,False
45,195.49,38.64,43.85,1.82,374,False,False,True,sell,True
46,188.96,28.09,47.35,2.09,226,True,True,True,off,False
47,187.03,35.92,46.05,1.79,228,True,False,True,adjust,False
48,174.19,34.06,42.14,1.66,401,True,False,True,sell,True
