ticker,buy_date,sell_date,entry_regime,buy_price,sell_price,reason,pnl_pct,pnl,hold_days,final_stage
5269,2021-02-01,2021-02-19,空頭,1757.81,1558.06,高點打折鎖利,-11.89,-2736.02,18,1
2337,2021-02-01,2021-02-26,空頭,34.33,40.06,保本停利(直接出清),15.99,4527.19,25,1
3443,2021-02-01,2021-02-26,空頭,382.35,420.77,土洋雙賣(方案B借用),9.39,1835.4,25,1
2492,2021-02-01,2021-02-26,空頭,194.93,216.21,土洋雙賣(方案B借用),10.25,2933.16,25,1
6415,2021-02-01,2021-03-02,空頭,685.49,627.66,高點打折鎖利,-8.98,-1886.6,29,1
3653,2021-02-22,2021-03-09,多頭,288.11,240.44,土洋雙賣(方案B借用),-17.04,-122769.24,15,3
2330,2021-02-01,2021-03-19,空頭,553.42,537.5,土洋雙賣(方案B借用),-3.46,-1049.34,46,1
2357,2021-03-15,2021-03-19,多頭,215.42,249.45,保本停利(直接出清),15.1,30884.41,4,3
1513,2021-03-15,2021-03-25,多頭,44.79,42.1,土洋雙賣(方案B借用),-6.55,-9803.36,10,3
3231,2021-03-15,2021-03-25,多頭,24.66,25.11,土洋雙賣(方案B借用),1.23,2996.86,10,3
6531,2021-03-29,2021-04-12,多頭,400.95,338.26,高點打折鎖利,-16.14,-25778.04,14,3
2454,2021-02-01,2021-05-04,空頭,638.08,764.99,土洋雙賣(方案B借用),19.17,5189.13,92,3
2412,2021-02-01,2021-05-04,空頭,87.15,89.57,土洋雙賣(方案B借用),2.16,4908.06,92,3
2324,2021-03-29,2021-05-04,多頭,19.4,18.55,土洋雙賣(方案B借用),-4.95,-11212.21,36,3
8086,2021-04-12,2021-05-04,多頭,151.12,119.6,土洋雙賣(方案B借用),-21.33,-28571.45,22,3
5347,2021-05-10,2021-05-11,多頭,89.87,85.94,防線B(破支撐),-4.94,-7348.25,1,3
5434,2021-03-22,2021-05-12,多頭,101.54,93.61,土洋雙賣(方案B借用),-8.36,-7076.65,51,3
