ticker,buy_date,sell_date,entry_regime,buy_price,sell_price,reason,pnl_pct,pnl,hold_days,variant
5269,2021-02-01,2021-02-05,空頭,1757.81,1735.61,積分轉負,-1.85,-425.99,4,整套換方案B(失敗版)
3529,2021-02-01,2021-02-18,空頭,675.01,848.99,15%停利,25.02,4919.45,17,整套換方案B(失敗版)
2492,2021-02-01,2021-02-19,空頭,194.93,225.58,15%停利,15.03,4295.67,18,整套換方案B(失敗版)
6415,2021-02-01,2021-02-23,空頭,685.49,715.61,積分轉負,3.77,790.93,22,整套換方案B(失敗版)
2330,2021-02-01,2021-02-23,空頭,553.42,580.6,積分轉負,4.28,1298.4,22,整套換方案B(失敗版)
2454,2021-02-01,2021-02-23,空頭,638.08,680.38,積分轉負,5.99,1620.5,22,整套換方案B(失敗版)
2492,2021-02-22,2021-02-25,多頭,237.49,228.98,積分轉負,-4.16,-15782.25,3,整套換方案B(失敗版)
3443,2021-02-22,2021-02-26,多頭,449.82,420.77,土洋雙賣,-7.02,-6362.26,4,整套換方案B(失敗版)
2412,2021-02-01,2021-03-03,空頭,86.78,87.18,積分轉負,-0.14,-173.5,30,整套換方案B(失敗版)
6488,2021-02-22,2021-03-03,多頭,675.63,624.66,積分轉負,-8.1,-25108.98,9,整套換方案B(失敗版)
2368,2021-03-08,2021-03-17,空頭,56.44,53.26,積分轉負,-6.21,-1494.83,9,整套換方案B(失敗版)
3189,2021-03-08,2021-03-17,空頭,83.33,82.59,積分轉負,-1.48,-584.76,9,整套換方案B(失敗版)
3105,2021-03-08,2021-03-18,空頭,339.98,344.88,積分轉負,0.83,726.8,10,整套換方案B(失敗版)
2357,2021-03-08,2021-03-19,空頭,208.48,249.45,15%停利,18.94,8268.36,11,整套換方案B(失敗版)
3231,2021-03-08,2021-03-24,空頭,24.19,25.53,土洋雙賣,4.9,10719.43,16,整套換方案B(失敗版)
2324,2021-03-08,2021-03-29,空頭,16.81,19.4,15%停利,14.75,29660.09,21,整套換方案B(失敗版)
6438,2021-02-01,2021-04-01,空頭,68.19,78.54,15%停利,14.48,13710.8,59,整套換方案B(失敗版)
2356,2021-03-08,2021-04-01,空頭,19.85,20.61,積分轉負,3.19,6423.63,24,整套換方案B(失敗版)
2317,2021-03-22,2021-04-01,多頭,103.91,97.11,積分轉負,-7.1,-12849.09,10,整套換方案B(失敗版)
6531,2021-03-29,2021-04-07,多頭,400.95,393.28,積分轉負,-2.5,-5160.21,9,整套換方案B(失敗版)
3034,2021-03-29,2021-04-12,多頭,353.22,368.99,觸發停損,3.84,9733.79,14,整套換方案B(失敗版)
5434,2021-03-22,2021-04-13,多頭,101.54,101.92,積分轉負,-0.23,-171.43,22,整套換方案B(失敗版)
8086,2021-04-12,2021-04-14,多頭,151.12,143.7,積分轉負,-5.48,-6772.24,2,整套換方案B(失敗版)
2303,2021-04-12,2021-04-15,多頭,39.77,39.4,積分轉負,-1.53,-2202.61,3,整套換方案B(失敗版)
3413,2021-04-12,2021-04-16,多頭,210.3,188.47,積分轉負,-10.92,-10692.35,4,整套換方案B(失敗版)
2376,2021-04-12,2021-04-21,多頭,76.85,78.7,積分轉負,1.79,2913.51,9,整套換方案B(失敗版)
5347,2021-04-12,2021-04-22,多頭,91.04,89.08,積分轉負,-2.74,-4823.13,10,整套換方案B(失敗版)
6488,2021-04-19,2021-04-23,多頭,717.97,725.74,積分轉負,0.48,1180.7,4,整套換方案B(失敗版)
2308,2021-04-19,2021-04-23,多頭,266.57,265.68,積分轉負,-0.93,-1623.72,4,整套換方案B(失敗版)
2458,2021-04-12,2021-04-29,多頭,138.15,148.91,積分轉負,7.14,7410.72,17,整套換方案B(失敗版)
2303,2021-04-26,2021-05-03,多頭,45.86,39.33,觸發停損,-14.75,-26079.48,7,整套換方案B(失敗版)
2353,2021-04-12,2021-05-04,多頭,23.95,23.44,觸發停損,-2.74,-3854.01,22,整套換方案B(失敗版)
3533,2021-04-26,2021-05-05,多頭,442.81,424.0,觸發停損,-4.82,-13550.26,9,整套換方案B(失敗版)
2436,2021-04-26,2021-05-10,多頭,74.44,55.66,觸發停損,-25.67,-26313.09,14,整套換方案B(失敗版)
2376,2021-04-26,2021-05-12,多頭,86.46,76.85,觸發停損,-11.64,-16927.21,16,整套換方案B(失敗版)
6182,2021-04-26,2021-05-12,多頭,52.15,40.09,觸發停損,-23.59,-12171.57,16,整套換方案B(失敗版)
5347,2021-05-10,2021-05-12,多頭,89.87,79.66,觸發停損,-11.88,-11504.69,2,整套換方案B(失敗版)
3529,2021-05-03,2021-05-13,多頭,974.49,819.52,觸發停損,-16.41,-42956.61,10,整套換方案B(失敗版)
3533,2021-05-10,2021-05-13,多頭,453.06,399.21,觸發停損,-12.41,-26335.24,3,整套換方案B(失敗版)
2353,2021-05-10,2021-05-13,多頭,25.9,22.0,觸發停損,-15.56,-26744.19,3,整套換方案B(失敗版)
2454,2021-05-17,2021-05-19,空頭,671.44,664.87,土洋雙賣,-1.57,-1042.14,2,整套換方案B(失敗版)
8046,2021-05-17,2021-05-20,空頭,263.13,251.95,土洋雙賣,-4.82,-5471.46,3,整套換方案B(失敗版)
2360,2021-05-17,2021-05-21,空頭,157.06,156.74,土洋雙賣,-0.8,-851.63,4,整套換方案B(失敗版)
6415,2021-05-17,2021-05-24,空頭,686.35,805.96,15%停利,16.72,21309.36,7,整套換方案B(失敗版)
5269,2021-05-17,2021-05-26,空頭,1090.33,1300.6,15%停利,18.57,19306.63,9,整套換方案B(失敗版)
2345,2021-05-17,2021-05-27,空頭,259.86,265.97,積分轉負,1.74,2375.6,10,整套換方案B(失敗版)
2368,2021-05-17,2021-06-01,空頭,47.61,55.09,15%停利,15.01,11219.9,15,整套換方案B(失敗版)
2458,2021-05-24,2021-06-02,空頭,142.31,142.66,積分轉負,-0.36,-228.31,9,整套換方案B(失敗版)
3653,2021-05-24,2021-06-03,空頭,233.01,235.84,積分轉負,0.61,720.17,10,整套換方案B(失敗版)
6415,2021-05-24,2021-06-04,空頭,823.06,813.19,積分轉負,-1.79,-2278.59,11,整套換方案B(失敗版)
5269,2021-05-31,2021-06-07,多頭,1340.55,1238.45,積分轉負,-8.17,-21388.07,7,整套換方案B(失敗版)
6488,2021-05-17,2021-06-08,空頭,644.45,744.75,15%停利,14.87,10879.83,22,整套換方案B(失敗版)
2337,2021-06-07,2021-06-09,多頭,36.7,35.94,積分轉負,-2.67,-3301.14,2,整套換方案B(失敗版)
8046,2021-06-07,2021-06-11,多頭,303.71,298.11,積分轉負,-2.43,-3640.54,4,整套換方案B(失敗版)
3653,2021-06-07,2021-06-15,多頭,259.26,242.53,積分轉負,-7.01,-12713.36,8,整套換方案B(失敗版)
2383,2021-06-21,2021-06-22,多頭,184.77,176.99,土洋雙賣,-4.79,-8135.87,1,整套換方案B(失敗版)
3443,2021-06-21,2021-06-22,多頭,396.45,385.52,土洋雙賣,-3.34,-5850.5,1,整套換方案B(失敗版)
3017,2021-06-07,2021-06-28,多頭,63.74,71.8,積分轉負,11.97,21437.73,21,整套換方案B(失敗版)
2059,2021-05-24,2021-06-29,空頭,358.07,362.56,積分轉負,0.65,768.73,36,整套換方案B(失敗版)
6182,2021-06-21,2021-06-30,多頭,52.51,54.19,積分轉負,2.59,4016.17,9,整套換方案B(失敗版)
2368,2021-06-21,2021-07-01,多頭,60.01,64.55,積分轉負,6.91,1316.93,10,整套換方案B(失敗版)
3035,2021-06-28,2021-07-07,多頭,69.21,83.27,15%停利,19.59,7311.89,9,整套換方案B(失敗版)
