buy_year,bucket,n,mean,median,p25,p75,win_rate
2021,0.非同買日,16917,-0.608473,-1.33,-4.64,3.52,40.669149
2021,1.第1天,36176,0.336084,-1.10,-4.00,2.87,40.792238
2021,2.第2天,21714,0.082712,-1.87,-4.61,2.75,33.862946
2021,3.第3天,12027,-0.327409,-0.23,-5.30,2.94,48.100108
2021,4.第4-5天,7087,-0.974093,-0.98,-4.03,3.46,45.802173
2021,5.第6天以上,1010,-1.172178,-0.60,-2.65,2.46,31.782178
2022,0.非同買日,14926,-1.318211,-2.275,-6.67,1.40,32.560632
2022,1.第1天,29256,-0.763070,-2.020,-4.39,0.67,28.698387
2022,2.第2天,14759,-1.352250,-1.760,-4.49,0.48,28.863744
2022,3.第3天,6986,-3.512697,-3.270,-8.72,-0.01,23.761809
2022,4.第4-5天,6717,-1.399859,-1.210,-4.23,1.62,36.147089
2022,5.第6天以上,2456,0.764959,0.600,-1.55,2.75,55.781759
2023,0.非同買日,6848,-0.804803,-2.08,-5.52,3.81,37.894276
2023,1.第1天,33628,2.203456,-0.23,-3.92,7.75,47.133341
2023,2.第2天,24815,2.234095,0.39,-3.23,6.25,51.650212
2023,3.第3天,7458,0.181094,-1.34,-3.69,1.98,36.511129
2023,4.第4-5天,6987,2.029594,-0.60,-5.00,6.38,47.860312
2023,5.第6天以上,2952,1.744617,-0.04,-1.80,5.34,48.915989
2024,0.非同買日,12659,1.138934,-1.31,-5.20,4.91,43.747531
2024,1.第1天,40857,2.355724,-0.93,-3.80,7.34,44.489316
2024,2.第2天,28173,1.118026,-0.49,-3.56,4.32,48.198630
2024,3.第3天,10989,1.287863,-1.10,-3.97,5.07,39.102739
2024,4.第4-5天,5935,-0.429877,-1.52,-6.17,3.38,40.842460
2024,5.第6天以上,1878,-1.119164,-1.60,-3.69,0.71,32.108626
2025,0.非同買日,12668,1.383196,-1.08,-4.53,5.63,43.566467
2025,1.第1天,37014,1.771543,-0.60,-3.93,5.52,47.906198
2025,2.第2天,26840,2.808484,-0.02,-3.59,8.80,49.523100
2025,3.第3天,9627,2.834416,0.13,-3.95,7.69,50.992002
2025,4.第4-5天,6843,3.392397,3.21,-3.14,8.56,62.311852
2025,5.第6天以上,1511,2.074937,-0.60,-2.72,6.98,35.671741
2026,0.非同買日,11090,5.366151,4.20,-5.09,16.90,58.214608
2026,1.第1天,26583,0.802361,-0.85,-7.24,8.09,45.814995
2026,2.第2天,14962,-0.029219,-1.86,-6.81,4.03,39.179254
2026,3.第3天,9783,2.218537,1.08,-6.55,11.90,54.441378
2026,4.第4-5天,3945,4.464051,2.66,-1.06,10.83,66.337136
2026,5.第6天以上,659,1.719423,-2.02,-5.33,18.04,43.702580
